NP_001263201.1,NP_001263201.1,100.000,540,0,0,1,540,1,540,0.0,1114,100.00
NP_001263201.1,NP_001263200.1,100.000,538,0,0,1,538,1,538,0.0,1110,100.00
NP_001263201.1,NP_003916.1,100.000,538,0,0,1,538,1,538,0.0,1107,100.00
NP_001263201.1,XP_003829480.1,99.628,538,2,0,1,538,1,538,0.0,1104,100.00
NP_001263201.1,XP_009444670.1,99.442,538,3,0,1,538,1,538,0.0,1102,99.81
NP_001263201.1,XP_024309578.1,98.885,538,0,1,1,538,1,532,0.0,1090,98.88
NP_001263201.1,XP_004036337.1,98.513,538,8,0,1,538,1,538,0.0,1089,99.26
NP_001263201.1,NP_001263199.1,98.885,538,0,1,1,538,1,532,0.0,1088,98.88
NP_001263201.1,XP_003829479.1,98.513,538,2,1,1,538,1,532,0.0,1086,98.88
NP_001263201.1,XP_009444671.1,98.327,538,3,1,1,538,1,532,0.0,1084,98.70
NP_001263201.1,NP_001267403.1,97.955,538,4,1,1,538,1,531,0.0,1078,98.33
NP_001263201.1,XP_003265081.1,97.037,540,14,1,1,540,1,538,0.0,1077,98.15
NP_001263201.1,XP_009236675.1,97.217,539,12,2,1,538,1,537,0.0,1072,98.70
NP_001263201.1,XP_003265080.1,97.026,538,14,1,1,538,1,536,0.0,1071,98.14
NP_001263201.1,XP_004036336.1,97.398,538,8,1,1,538,1,532,0.0,1071,98.14
NP_001263201.1,XP_018879156.1,97.212,538,8,1,1,538,1,531,0.0,1069,97.96
NP_001263201.1,XP_003265079.1,95.911,538,14,2,1,538,1,530,0.0,1052,97.03
NP_001263201.1,XP_012357629.1,95.725,538,14,2,1,538,1,529,0.0,1050,96.84
NP_001263201.1,NP_001127160.1,95.547,539,15,3,1,538,1,531,0.0,1047,97.22
NP_001263201.1,XP_024099907.1,97.194,499,11,2,41,538,1,497,0.0,993,98.60
NP_001263201.1,XP_021778385.1,91.867,541,33,5,1,540,1,531,0.0,978,94.45
NP_001263201.1,XP_021778383.1,91.667,540,34,5,1,539,1,530,0.0,975,94.44
NP_001263201.1,XP_024099908.1,95.992,499,11,3,41,538,1,491,0.0,975,97.39
NP_001263201.1,XP_021778382.1,91.837,539,33,5,1,538,1,529,0.0,973,94.43
NP_001263201.1,XP_011806084.1,91.971,548,31,4,1,538,1,545,0.0,972,93.80
NP_001263201.1,XP_021778384.1,91.651,539,34,5,1,538,1,529,0.0,972,94.25
NP_001263201.1,XP_021778380.1,91.837,539,33,5,1,538,1,529,0.0,972,94.43
NP_001263201.1,XP_009179574.1,91.837,539,33,5,1,538,1,529,0.0,972,94.43
NP_001263201.1,XP_009179575.1,91.651,539,33,5,1,538,1,528,0.0,970,94.25
NP_001263201.1,XP_021778381.1,91.651,539,33,5,1,538,1,528,0.0,969,94.25
NP_001263201.1,XP_025233738.1,91.788,548,32,4,1,538,1,545,0.0,969,93.98
NP_001263201.1,XP_011857589.1,91.423,548,34,4,1,538,1,545,0.0,966,93.98
NP_001263201.1,XP_010379805.1,92.579,539,30,4,1,538,1,530,0.0,962,94.62
NP_001263201.1,XP_017740509.1,92.764,539,29,4,1,538,1,530,0.0,962,94.62
NP_001263201.1,XP_010335215.1,88.931,533,54,3,6,538,1,528,0.0,962,92.68
NP_001263201.1,XP_011915692.1,92.052,541,33,4,1,540,1,532,0.0,961,94.45
NP_001263201.1,XP_017740510.1,92.579,539,29,4,1,538,1,529,0.0,960,94.43
NP_001263201.1,XP_011806085.1,92.393,539,31,4,1,538,1,530,0.0,960,94.25
NP_001263201.1,XP_010379806.1,92.393,539,30,4,1,538,1,529,0.0,959,94.43
NP_001263201.1,XP_007983577.1,91.682,541,35,4,1,540,1,532,0.0,958,94.09
NP_001263201.1,XP_025233739.1,92.208,539,32,4,1,538,1,530,0.0,956,94.43
NP_001263201.1,XP_011915691.1,91.852,540,34,4,1,539,1,531,0.0,956,94.44
NP_001263201.1,XP_011915689.1,92.022,539,33,4,1,538,1,530,0.0,954,94.43
NP_001263201.1,XP_011857590.1,91.837,539,34,4,1,538,1,530,0.0,954,94.43
NP_001263201.1,XP_011915690.1,91.837,539,33,4,1,538,1,529,0.0,952,94.25
NP_001263201.1,XP_007983575.1,91.651,539,35,4,1,538,1,530,0.0,951,94.06
NP_001263201.1,XP_011732829.1,91.651,539,35,4,1,538,1,530,0.0,949,93.69
NP_001263201.1,XP_007983576.1,91.466,539,35,4,1,538,1,529,0.0,949,93.88
NP_001263201.1,XP_005571777.1,91.837,539,34,4,1,538,1,530,0.0,948,93.88
NP_001263201.1,XP_011732830.1,91.651,539,35,4,1,538,1,530,0.0,948,93.69
NP_001263201.1,XP_011732833.1,91.651,539,35,4,1,538,1,530,0.0,948,93.69
NP_001263201.1,XP_023071695.1,92.022,539,32,5,1,538,1,529,0.0,947,93.69
NP_001263201.1,XP_024647293.1,91.466,539,35,4,1,538,1,529,0.0,946,93.51
NP_001263201.1,XP_005571778.1,91.651,539,34,4,1,538,1,529,0.0,946,93.69
NP_001263201.1,XP_014985647.2,91.651,539,35,4,1,538,1,530,0.0,946,93.69
NP_001263201.1,XP_011732831.1,91.466,539,35,4,1,538,1,529,0.0,946,93.51
NP_001263201.1,XP_014985645.2,91.651,539,35,4,1,538,1,530,0.0,946,93.69
NP_001263201.1,XP_023071706.1,91.837,539,32,5,1,538,1,528,0.0,945,93.51
NP_001263201.1,XP_003926209.1,87.805,533,54,4,6,538,1,522,0.0,944,91.56
NP_001263201.1,XP_014985646.2,91.466,539,35,4,1,538,1,529,0.0,943,93.51
NP_001263201.1,XP_010335216.1,87.617,533,54,4,6,538,1,521,0.0,941,91.37
NP_001263201.1,XP_017360578.1,88.577,534,58,2,6,538,1,532,0.0,931,92.13
NP_001263201.1,XP_008980465.1,88.180,533,54,2,6,538,1,524,0.0,924,90.81
